State,Convene,Adjourn
Alabama,7-Mar,8-Jun
Alaska,17-Jan,17-Apr
Arizona,9-Jan,22-Apr
Arkansas,9-Jan,10-Mar
California,"Dec. 5, 2022",8-Sep
Colorado,9-Jan,9-May
Connecticut,4-Jan,7-Jun
Delaware,10-Jan,"Jan. 9, 2024"
Florida,7-Mar,5-May
Georgia,9-Jan,29-Mar
Hawaii,18-Jan,4-May
Idaho,9-Jan,6-Apr
Illinois,11-Jan,31-Dec
Indiana,9-Jan,29-Apr
Iowa,9-Jan,17-May
Kansas,9-Jan,12-May
Kentucky,3-Jan,30-Mar
Louisiana,10-Apr,8-Jun
Maine,7-Dec,30-Mar
Maryland,11-Jan,10-Apr
Massachusetts,4-Jan,31-Dec
Michigan,11-Jan,31-Dec
Minnesota,3-Jan,22-May
Mississippi,3-Jan,2-Apr
Missouri,4-Jan,30-May
Montana,2-Jan,11-May
Nebraska,4-Jan,26-May
Nevada,6-Feb,5-Jun
New Hampshire,4-Jan,3-Jan-24
New Jersey,11-Jan,31-Dec
Kentucky,3-Jan,30-Mar
Maine,7-Dec-22,30-Mar
North Carolina,11-Jan,28-Jul
North Dakota,3-Jan,28-Apr
Ohio,2-Jan,31-Dec
Oklahoma,6-Feb,26-May
Oregon,17-Jan,26-Jun
Pennsylvania,3-Jan,31-Dec
Rhode Island,3-Jan,31-Dec
South Carolina,10-Jan,31-Dec
South Dakota,10-Jan,24-Mar
Tennessee,10-Jan,6-May
Texas,10-Jan,29-May
Utah,17-Jan,3-Mar
Vermont,4-Jan,9-May
Virginia,11-Jan,25-Feb
Washington,9-Jan,29-Apr
West Virginia,11-Jan,11-Mar
Wisconsin,3-Jan,31-Dec
Wyoming,10-Jan,3-Mar
American Samoa,9-Jan,TBD
District of Columbia,3-Jan,31-Dec
Guam,9-Jan,31-Dec
No. Mariana Is.,TBD,TBD
Puerto Rico,9-Jan,TBD
Virgin Islands,9-Jan,31-Dec